date,retail_transactions,stablecoin_revenue,blockchain_rewards,other_subscriptions,institutional_transactions,other,interest_income,custodial_fees
2025-09-30,843.50,354.70,184.60,142.70,135.00,75.70,64.80,43.10
2025-06-30,649.90,332.50,144.50,119.50,60.80,77.10,59.30,31.70
2025-03-31,1095.50,297.50,196.60,140.90,98.90,74.00,63.10,34.50
2024-12-31,1347.10,225.90,214.90,91.40,141.30,74.60,65.70,32.30
2024-09-30,483.30,246.90,154.80,58.70,55.30,76.60,64.00,19.70
2024-06-30,664.80,240.40,185.10,69.60,63.60,69.70,69.40,15.81
2024-03-31,935.20,197.30,150.90,63.70,85.40,49.90,66.70,16.99
2023-12-31,468.90,171.60,95.10,40.10,36.70,49.20,48.90,17.04
2023-09-30,247.00,172.36,74.46,29.30,14.07,51.14,42.50,11.44
2023-06-30,289.00,151.40,87.61,27.50,17.06,45.41,51.90,14.53
2023-03-31,329.20,198.90,73.75,28.70,22.31,36.13,43.30,22.18
2022-12-31,308.76,76.86,62.44,26.72,13.37,24.16,182.21,31.69
2022-09-30,346.09,0,62.76,31.44,19.78,13.96,24.92,49.68
2022-06-30,616.21,0,68.41,24.29,39.00,5.72,32.51,31.47
2022-03-31,965.84,0,81.90,27.81,47.20,1.55,10.45,31.70
2021-12-31,2190.00,0,97.99,58.06,90.75,8.44,7.65,23.45
2021-09-30,1020.00,0,77.04,28.18,67.69,77.17,8.39,7.98
2021-06-30,1830.00,0,39.02,25.43,102.43,194.95,6.48,4.80
2021-03-31,1460.00,0,9.00,20.63,85.41,204.13,3.32,3.08
2020-12-31,451.80,0,3.05,8.96,24.61,98.04,2.21,2.71
